name,page,text
892231__concatenated,54,": i a

…‚.‘*…awa»í\.

 

 

 
"
963330_bijlagen.zip__concatenated,122,"STRACKEE BV BOUWADVIESBUREAU werknummer: 912-096

berekeningnummer: 1
bladnummer: 36

 

TS/Raamwerken Rel: 5.27a 25 jun
2013

Project..: 908-118

Onderdeel:

Dimensies: kN;m;rad (tenzij anders aangegeven)

Datum. ...: 18/09/2007

Bestand..: H:\Projecten\2012\912-096\05 Documenten STR\02 Berekeningen

STR\berekening fundering\stutconstructie 50% tpv kolom.rww

Rekenmodel.......: 2e-orde-elastisch.
Theorieën voor de bepaling van de krachtsverdeling:
1) Uiterste grenstoestand:

Geometrisch niet lineair alle staven.

Fysisch lineair alle staven.

2) Gebruiksgrenstoestand:
Geometrisch niet lineair alle staven.
Fysisch lineair alle staven.
Maximum aantal iteraties......: 50
Max.deellengte kolommen/wanden: 0.500 Max.deellengte balken/vloeren: 0.500
Max. X-verplaatsing in UGT....: 0.500 Max. Z-verplaatsing in UGT...: 0.250

Gunstige werking van de permanente belasting wordt automatisch verwerkt

Toegepaste normen volgens TGB 1990

 

Belastingen NEN 6702:2007 c1:2007
Staal NEN 6770:1997 A1:2001

NEN 6771:2000 A1:2001
GEOMETRIE

 

 

 

 

 

 

 

 

 

 

 

 

 

 

 

1,6
ë4‚2 2 3.HEB300 35‚HEB3004Ê
o o
A a
_- _
l "" "" l
“ “
| - - |
A )
f f
l Ó N l
Lm | 0,0
0,600, 3,800 ‚ 1,100 ‚
T T T
STRAMIENLIJNEN
Nr. x Z-min Z-max
1 0.000 0.000 1.600
2 0.600 0.000 1.600
3 4.400 0.000 1.600
4 5.500 0.000 1.600
NIVEAUS
Nr. Z X-min X-max
1 0.000 0.000 5.500
2 1.600 0.000 5.500
MATERIALEN
Mt Omschrijving E-modulus[N/mm2] S.M. Pois. Uitz. coëff
1 S235 210000 78.5 0.30 1.2000e-005
2 S355 210000 78.5 0.30 1.2000e-005
PROFIELEN [mm]
Prof. Omschrijving Materiaal Oppervlak Traagheid Vormf.
1 B114.3/10 2:S355 3.2767e+003 4.4966e+006 0.00
2 HEB300 1:S235 1.4910e+004 2.5170e+008 0.00
PROFIELEN vervolg [mm] x
Prof. Staaftype Breedte Hoogte e Type b1 hl b2 h2 X
1 O:Normaal 114 114  57.1 x Pagina 37144
2 O:Normaal 300 300 150.0 °

 

Berekening funderingsherstel Warmoesstraat 10 te Amsterdam 11 juli 2013
"
963330_bijlagen.zip__concatenated,20," 

ET Ness S n nmepyvs Guyaaurbu3 abew
' #

.LIN uo ssaqwnu a2ua2jey Yaied

LL 9L ZL SL OZ SV S9 zV za 29 LV 9 L9

J
,

e e d d h h E OE : OEE | a S kú - —
+ L n “ N O
# ! UO

ii D EE E t OE e O E e E N
e B 1 H t L +

 

 

 

{ Dakhyis }
9

Becrijfsrumte

 

LEL

DERDE VERD

 

 

 

( pakhuis Ì

 

E
5
5E &
D - d
È a
e )
a ©
6> E
4 3
n
59 £
dD
23 E
d f ©
oo z

 

26-mei-2011
55-09-0102

 
"
892231__concatenated,58,"Ws*.‚‘ L + __v‚u'‚
a e a E

g

 

 

 

,__I’‚_un-'.e. ‘

*

imig ‘
K}

r
7

 

 
"
963330_bijlagen.zip__concatenated,134,"De uitgevoerde handboring Hb1 geeft meer inzicht in de bodemopbouw en samenstelling
van de ondergrond. Tevens is na de uitvoering van handboring Hb1 in het boorgat
grondwater ingemeten op een diepte van 0.33m - NAP, met hierbij de nadrukkelijke
vermelding dan deze meting een eenmalig waarneming betreft en derhalve als indicatief
beschouwd moet worden.

Tijdens het geotechnisch bodemonderzoek zijn geen verdere bijzonderheden
aangetroffen.

4 Inmeten onderzoekslocatie

De onderzoekslocaties zijn in het terrein uitgezet en gewaterpast ten opzichte van NAP.
De omschrijving van het referentiepunt met de daaraan verbonden hoogteligging en de
resultaten van de waterpassing zijn weergegeven op de waterpasstaat in bijlage 3.

Het referentienivêau \ e —onderzoeks/ócatie— staan  tevens* woergegeven op de
situatietekening in bijlage 1L.

5 Funderingsadvies

Het funderingsadvies voor dit project is opgesteld in overeenstemming met de Eurocode
met Nederlandse NB.

6 Verzendlijst rapportage

De rapportage is digitaal verzonden naar:

 

Pagina 5/24

OxXxXX
"
963330_bijlagen.zip__concatenated,1,"    
 

4%

 
  
      
      
      
     
    

  
  

Aar:

Warmoesstraat 10
1012 JD AMSTERDAM

stadsdeel Amsterdam-Centrum

 

 

   

ons kenmerk : BWT 19-03-0016

 
  
 
   
 
   
 
      
      
    
   
   
     
   
     
     
     
      

 

afdeling . Beleid, Besluitvorming en Informatiebeheer
onderwerp : VASTGOEDREGISTRATIE
volgnummer : 2003 - 1717
adres : _ Warmoesstraat 10
behandeld door

doorkiesnummer

spreekuur maandag t/m vrijdag van 09:00 tot 11:00 uur

bijlage : gemerkte perceelsregistratie

datum : 21 MEÍ 2003

Het Dagelijks Bestuur van het stadsdeel Amsterdam-Centrum;

  

Gelet op artikel 8.8 van de Algemene Plaatselijke Verordening 1994;

 

Gelet op artikel 60 van de Woningwet;

Gelet op ons vaste beleid tot vastleggen van een perceelsomschrijving (bestemming of gebruik)
bij elk door ons vast te stellen huisnummer;

 

Gelet op het uitgevoerde onderzoek door het stadsdeel Amsterdam-Centrum, tot nadere
vaststelling van de omschrijving van het perceel(gedeelte), zoals deze was geregistreerd en zoals
weergegeven op de bijgevoegde registratie, die deel uitmaakt van dit besluit;

Overwegende dat op het door ons aan u toegezonden ontwerp-besluit door u niet is gereageerd,

Besluit,
tot vaststelling van de perceel(gedeelte)omschrijving zoals weergegeven op de bijgevoegde

registratie, die deel uitmaakt van dit besluit.

 

Gelet op artikel 8.9 van de Algemene Plaatselijke Verordening 1994, en voor zover al niet reeds
aanwezig, wijzen wij u erop dat de nummering moet worden uitgevoerd in zwarte cijfers en
letters, hoog 8,8 cm op witte achtergrond en aangebracht op 2 m boven het vloerniveau direkt
rechts van elke toegang, een en ander met inachtneming van NEN 1773 en 1774, beide van de
meest recente uitgave.

Voorzover een toegang niet grenst aan de openbare weg, dient het nummer nabij de hoofdtoegang
aan die weg te worden herhaald; bij meerdere nummers is dan te volstaan met een verzamelbord
met vermelding van het laagste en hoogste nummer.

m sector Bouwen, Wonen en Economie m hoofdafdeling Bouwtoezicht, Beheer Onroerend goed en Marktzaken m
m Stadhuis m Amstel 1 m 1011 PN Amsterdam m Postbus 202 m 1000 AE Amsterdam m fax 020 552 4520 m

 

 

 

H

Izo

-
8

 

mm .

: M

10 09 03 02 01 C7 B7 A7 C8 B8 A8 C9 B9

17 16 11

18

C1 B1 A1 C2 B2 A2 B5 A5 20

Patch Reference numbers on UTT

 

-
ö
E
|
ö
[e)

ok
n

D
E
5
z
°

£

.
5
ö
“
v

£

E=]

   

Chart TE263 Serial No. A 3 2
"
963330_bijlagen.zip__concatenated,195,"Kenmerk BWT 73-11-0029
Pagina 2 van 3

Gemeente Amsterdam
Stadsdeel Centrum

De subsidie wordt verleend onder oplegging van de verplichting dat:

a. binnen dertien weken na verlening of binnen een andere in de beschikking genoemde
termijn een begin wordt gemaakt met de werkzaamheden en dit op een door het
dagelijks bestuur beschikbaar gesteld formulier wordt gemeld aan de daartoe
aangewezen instantie;

b. binnen twee jaar na de datum van de verleningsbeschikking de werkzaamheden zijn
voltooid;

c. de te treffen voorzieningen geheel zullen worden uitgevoerd door een ondernemer
die beschikt over een vergunning als bedoeld in art. 3 van het Vestigingsbesluit
bedrijven.

Hoogachtend,
namens het dagelijks bestuur,

Afdelingshoofd Realisatie Sociaal en Vastgoed
"
963330_bijlagen.zip__concatenated,44,"Gemeente Amsterdam

stadsdeel Centrum

26-mei-2011
55-09-0102

Warmoesstraat 10

d E 4(G5:n>0p sp1emo1 3[e3s au1
689 69 8V 89 89 ZV Z9g Z9 LO ZO €0 60 OL ‚ ""5 9l

K a

d O e ! i E OOE z OEE
e

Zi

09

 

ZTO ONIeueS 9ZL Weu aa uens Guyoauibu abeu
x

d LIN o siaqwnu a2ua12jay YNed

8L OZ SV Sg ZV zg ZĲ IW Lg LO

p A i
y t

 

, , ET

……__ ……
HE

m n

Baring M

a J e

 
"
963330_bijlagen.zip__concatenated,15,"Gemeente Amsterdam
26-mei-2011 stadsdeel Centrum
55-09-0102

Warmoesstraat 10

Meest relevante artikelen Woningwet
Artikel Ib

Tenzij een omgevingsvergunning het uitdrukkelijk toestaat, is het verboden:

- een gebouw te bouwen, voor zover daarbij niet wordt voldaan aan de op dat
bouwen van toepassing zijnde voorschriften, bedoeld in artikel 2, eerste lid;
een bouwwerk, niet zijnde een gebouw, te bouwen, voor zover daarbij niet wordt
voldaan aan de op dat bouwen van toepassing zijnde voorschriften, bedoeld in
artikel 2. derde lid;

Het is verboden:

een bestaand gebouw in een staat te brengen, te laten komen of te houden die niet

voldoet aan de op de staat van dat gebouw van toepassing zijnde voorschriften,

bedoeld in artikel 2, tweede lid;

- een bestaand bouwwerk, niet zijnde een gebouw, in een staat te brengen, te laten
komen of te houden die niet voldoet aan de op de staat van dat bouwwerk van
toepassing zijnde voorschriften, bedoeld in artikel 2, vierde lid;

Tenzij een omgevingsvergunning het uitdrukkelijk toestaat, is het verboden een

gebouw. bouwwerk, niet zijnde een gebouw, dan wel deel daarvan, in stand te laten

voor zover bij het bouwen daarvan niet is voldaan aan de op dat bouwen van

toepassing zijnde voorschriften, bedoeld in het eerste lid.

the scale towards documep””

Artikel 13

[e>]
[ss)]
[e>]
®}
o
<
o
[ss]
e}
©}
-
<
==
10
n
©}
E n
_
e
[]
[se]
)}
[e>]
)}
)}
—

Het bevoegd gezag kan, indien dat naar zijn oordeel noodzakelijk is, degene die als
eigenaar van een gebouw of een bouwwerk, niet zijnde een gebouw, dan wel uit andere
hoofde bevoegd is tot het daaraan treffen van voorzieningen, verplichten tot het binnen
een door hem te bepalen termijn treffen van zodanige voorzieningen, dat de staat van dat
gebouw of dat bouwwerk nadien komt te liggen op een niveau dat hoger is dan het niveau
dat overeenkomt met de voorschriften, bedoeld in artikel 1b, tweede lid, onderdeel a,
respectievelijk b, zonder dat dit hoger komt te liggen dan het niveau dat overeenkomt met
de voorschriften, bedoeld in artikel 1b, eerste lid, onderdeel a, respectievelijk b.

ence Chart TE263 Serial No.

umbers on UTT

 

C1 B1 A1l G2 B2 A2 B5 A5 20 18 17 16 11

Patch Reference n

mage Engineering Scan Refer

I mm !o

 
"
963330_bijlagen.zip__concatenated,30,"Gemeente Amsterdam
26-mei-2011 stadsdeel Centrum
55-09-0102

Warmoesstraat 10

Uitgevoerde metingen in mm
Onderdeel: Afmeting: Indringing: Opmerking:
boven midden _ onder
Paal 1 S 190 35 - 35 ter plaatse van nummer 12
Paal 2 d210 32 - 32 -
links midden _ rechts
Langshout 1 -Xx- 7 6 8
LangshoutB  -x- 30 40 40
10 - 30
20 1S
30

 

 

the scale towards documen’

)
[s4]
[e>]
[®)
o
<
)
[a4]
[ee]
®}
_
<
_
(a4]
_
Ö
o
®}
|
®}
[se]
®
e}
)
e}
-

3
#

Overzichtsfoto inspectieput

16 11

17

 

C1 B1 A1 C2 B2 A2 B5 A5 20 18

Patch Reference numbers on UTT

\mage Engineering Scan Reference Chart TE263 SerialNo. _9 «>

 

 
"
963330_bijlagen.zip__concatenated,3,"Registratie behorende bij besluit no.: BWT 19-03-0016

OUDE SITUATIE:

Adres
Postcode
Verdieping
Gebruik
Toelichting

: Warmoesstraat 10
1012D

: geheel

: niet eensluidend

: adres ingetrokken als gevolg van registratie en is overgegaan in:

Warmoesstraat 10- hs
Warmoesstraat 10-I
Warmoesstraat 10- IT
Warmoesstraat 10- IT
Warmoesstraat 10- IV

Ù
m
1

stadsdeel Amsterdam-Centrum

 

NIEUWE SITUATIE:

Adres
Postcode
Verdieping
Gebruik
Toelichting

: Warmoesstraat 10-hs

$ 40129D

: ohs/hs

: overige bedrijfsruimte

: adres opgevoerd als gevolg van registratie en is ontstaan uit:

Warmoesstraat 10

 

Adres
Postcode
Verdieping
Gebruik
Toelichting

: Warmoesstraat 10-I

# 10129D

|

: woning

: adres opgevoerd als gevolg van registratie en is ontstaan uit:

Warmoesstraat 10

 

Adres
Postcode
Verdieping
Gebruik
Toelichting

: Warmoesstraat 10-I

SOS WnID,

*2

: woning

: adres opgevoerd als gevolg van registratie en is ontstaan uit:

Warmoesstraat ÌÛ

 

Adres
Postcode
Verdieping
Gebruik
Toelichting

: Warmoesstraat 10-I

OIS.

:3/4. voor

: woning

: adres opgevoerd als gevolg van registratie en is ontstaan uit:

Warmoesstraat 10

 

x%

 

10 09 03 02 01 C7 B7 A7 C8 B8 A8 C9 B9

11

16

18 17

C1 B1 A1 C2 B2 A2 B5 A5 20

Patch Reference numbers on UTT

the scale towards documer g

  

ineering Scan Reference Chart TE263 Serial No. Á' 3 2

m sector Bouwen, Wonen en Economie m hoofdafdeling Bouwtoezicht, Beheer Onroerend goed en Marktzaken m
m Stadhuis m Amstel 1 m 1011 PN Amsterdam m Postbus 202 m 1000 AE Amsterdam m fax 020 552 4520 m

1FULUUI/UL

 
"
963330_bijlagen.zip__concatenated,152,"4.3 Beïnvloeding omgeving:

Bij het in de grond brengen van funderingspalen zijn voor de omgeving van de vervormingen
welke optreden in de ondergrond van belang. Deze kunnen leiden tot vervorming van de
bestaande fundering met als mogelijk gevolg schade aan de belending.

Het risico van schade blijft beperkt indien voldoende afstand tussen de nieuw te installeren
palen en de palen onder de bestaande bebouwing wordt gehandhaafd. Bovendien verdient
het de voorkeur met de nieuw te installeren palen het basisniveau van de palen onder de
belending niet te passeren. Naast een pand op palen dienen de volgende minimum
paalafstanden te worden aangehouden:

Indien het basisniveau van de aanwezige palen niet wordt
gepasseerd: 2,0Dbest + 2,0Dnieuw
- indien wel dieper wordt gefundeerd:  3,5Dbpest + 3,5Dnieuw

Hierin zijn Dpest en D nieuw de equivalent ronde paalpuntdiameters van de bestaande en de
nieuw te installeren palen

Het handhaven van deze paalafstar den\vormt geen gararitie voór het uitblijven van schade.
Van invloed zijn ook-destaat-van het betrefende-panden-de kwaliteit van de uitvoering. Wij
bevelen aan de gegeven minimum afstanden ruim aan te houden.

Uit eerder verkregen ervaringen in Amsterdam blĳkt dat de grondverdringende
schroefinjectiepalen op kleinere afstanden dan hierboven vermeld kunnen worden ingebracht
zonder schade aan het bestaande pand te veroorzaken. Er zal dan echter altijd een risico op
schade blijven bestaan, dat door de opdrachtgever geaccepteerd dient te worden.
Geadviseerd wordt een minimale afstand van 2D, aan te houden.

Pagina 23/24

OxxXx
"
963330_bijlagen.zip__concatenated,137,"BIJLAGE 2

 

Sondeergrafiek : DKM1 tot en met DKM2
Handboring : Hbl1

Pagina 8/24

OxxX>x
"
963330_bijlagen.zip__concatenated,67," 

 

 

 

E

        

l‚'Î’ ÎU*’| |[ L

J. Í[:’—T]k
|
!

 

 

 

 

 

 

 

 

Oligd panden warmoestraat 10

 

 
"
963330_bijlagen.zip__concatenated,222,"Gemeente Amsterdam
Kenmerk BWT 50-10-0054 _ Stadsdeel Centrum

Pagina 5 van 7

Hebt u nog vragen?
Heeft u hierover nog vragen? Belt u dan voor inhoudelijke vragen met

Hoogachtend,
namens het dagelijks bestuur,

Hoofd afdeling Bouwtoezicht
"
963330_bijlagen.zip__concatenated,146,"1 INLEIDING

Ingevolge uw schriftelijke opdracht d.d. 6 juni 2013 heeft Geo-Supporting bv dit
funderingsadvies opgesteld ten behoeve van het funderingsherstel van het pand aan
Warmoesstraat 10 te Amsterdam.

Bij het tot stand komen van dit advies is gebruik gemaakt van het ons ter plaatse
uitgevoerde grondonderzoek met kenmerk 275.01.93413.

Het bodemonderzoek omvatte 2 sonderingen (nrs. DKM1 en DKM2) en 1 handboring (nr.
HB1) ter plaatse van de op de situatietekening aangegeven locaties. Bij de sonderingen
is naast de conusweerstand eveneens de plaatselijke wrijving geregistreerd.

De onderzoekslocaties zijn door ons in het terrein uitgezet en gewaterpast ten opzichte
van NAP.

De gepresenteerde inmeet- en waterpasresultaten zijn alleen ten behoeve van het
grondonderzoek te gebruiken en kunnen niet als basis voor de realisatie van het
bouwproject of andere doeleinden worden gebruikt.

Pagina 17/24

OxxXx
"
